time,numwrites,size
900.037,4256000,56010
988.205,4256000,60010
1025.463,4256000,64010
1085.349,4256000,68010
1145.706,4256000,72010
1208.886,4256000,76010
1276.369,4256000,80010
1335.809,4256000,84010
1392.322,4256000,88010
1456.514,4256000,92010
1514.823,4256000,96010
0.294,4552000,10
70.819,4552000,4010
141.466,4552000,8010
210.661,4552000,12010
279.926,4552000,16010
347.707,4552000,20010
417.108,4552000,24010
501.429,4552000,28010
556.48,4552000,32010
625.217,4552000,36010
693.237,4552000,40010
762.636,4552000,44010
830.261,4552000,48010
895.792,4552000,52010
964.492,4552000,56010
1029.097,4552000,60010
1092.804,4552000,64010
1162.141,4552000,68010
1226.588,4552000,72010
1297.031,4552000,76010
1358.034,4552000,80010
1420.456,4552000,84010
1485.905,4552000,88010
1552.969,4552000,92010
1628.632,4552000,96010
0.315,4848000,10
