time,numwrites,size
891.116,4256000,56010
951.848,4256000,60010
1013.412,4256000,64010
1086.451,4256000,68010
1133.118,4256000,72010
1193.843,4256000,76010
1253.714,4256000,80010
1315.358,4256000,84010
1373.896,4256000,88010
1435.624,4256000,92010
1516.222,4256000,96010
0.287,4552000,10
70.096,4552000,4010
139.618,4552000,8010
209.032,4552000,12010
277.349,4552000,16010
345.445,4552000,20010
412.793,4552000,24010
481.035,4552000,28010
549.167,4552000,32010
615.996,4552000,36010
684.306,4552000,40010
752.552,4552000,44010
820.192,4552000,48010
885.885,4552000,52010
950.918,4552000,56010
1015.75,4552000,60010
1082.969,4552000,64010
1217.297,4552000,68010
1208.655,4552000,72010
1297.244,4552000,76010
1339.138,4552000,80010
1405.096,4552000,84010
1467.615,4552000,88010
1533.098,4552000,92010
1597.279,4552000,96010
0.304,4848000,10
74.718,4848000,4010
149.016,4848000,8010
222.332,4848000,12010
304.991,4848000,16010
367.312,4848000,20010
439.427,4848000,24010
512.482,4848000,28010
585.076,4848000,32010
667.265,4848000,36010
729.926,4848000,40010
801.487,4848000,44010
872.381,4848000,48010
941.933,4848000,52010
1009.868,4848000,56010
1080.235,4848000,60010
1149.372,4848000,64010
1218.251,4848000,68010
1286.498,4848000,72010
1355.177,4848000,76010
1451.156,4848000,80010
1543.196,4848000,84010
1561.837,4848000,88010
1625.789,4848000,92010
1700.336,4848000,96010
0.327,5144000,10
79.359,5144000,4010
160.24,5144000,8010
241.91,5144000,12010
313.381,5144000,16010
390.004,5144000,20010
466.335,5144000,24010
544.23,5144000,28010
621.079,5144000,32010
696.864,5144000,36010
774.05,5144000,40010
848.9,5144000,44010
923.439,5144000,48010
996.986,5144000,52010
1105.864,5144000,56010
1145.589,5144000,60010
1217.642,5144000,64010
1290.199,5144000,68010
1363.758,5144000,72010
1436.702,5144000,76010
1563.264,5144000,80010
1582.39,5144000,84010
1655.607,5144000,88010
1727.599,5144000,92010
1800.774,5144000,96010
0.344,5440000,10
83.822,5440000,4010
169.006,5440000,8010
249.581,5440000,12010
340.52,5440000,16010
412.607,5440000,20010
499.594,5440000,24010
574.944,5440000,28010
655.417,5440000,32010
737.467,5440000,36010
817.653,5440000,40010
895.819,5440000,44010
974.394,5440000,48010
1053.235,5440000,52010
1129.99,5440000,56010
1207.337,5440000,60010
1284.729,5440000,64010
1363.811,5440000,68010
1439.781,5440000,72010
1515.925,5440000,76010
1646.517,5440000,80010
1669.397,5440000,84010
1747.215,5440000,88010
1825.402,5440000,92010
1901.458,5440000,96010
0.359,5736000,10
88.185,5736000,4010
175.795,5736000,8010
262.917,5736000,12010
348.95,5736000,16010
431.488,5736000,20010
520.639,5736000,24010
606.41,5736000,28010
691.633,5736000,32010
777.061,5736000,36010
860.578,5736000,40010
943.001,5736000,44010
1027.021,5736000,48010
1109.602,5736000,52010
1190.208,5736000,56010
1351.147,5736000,60010
1351.6,5736000,64010
1436.949,5736000,68010
1516.744,5736000,72010
1598.712,5736000,76010
1678.419,5736000,80010
1758.848,5736000,84010
1842.158,5736000,88010
1922.492,5736000,92010
2033.001,5736000,96010
0.377,6032000,10
95.003,6032000,4010
184.917,6032000,8010
277.03,6032000,12010
367.133,6032000,16010
456.81,6032000,20010
552.445,6032000,24010
636.666,6032000,28010
727.518,6032000,32010
817.366,6032000,36010
904.003,6032000,40010
990.737,6032000,44010
1083.337,6032000,48010
1164.72,6032000,52010
1251.145,6032000,56010
1340.916,6032000,60010
1422.308,6032000,64010
1505.844,6032000,68010
1592.305,6032000,72010
1676.926,6032000,76010
1762.635,6032000,80010
1848.615,6032000,84010
1934.455,6032000,88010
2018.589,6032000,92010
2104.66,6032000,96010
0.396,6328000,10
97.646,6328000,4010
196.296,6328000,8010
295.175,6328000,12010
401.896,6328000,16010
478.957,6328000,20010
574.175,6328000,24010
668.804,6328000,28010
764.179,6328000,32010
857.226,6328000,36010
947.664,6328000,40010
1075.399,6328000,44010
1130.328,6328000,48010
1226.789,6328000,52010
1311.247,6328000,56010
1401.554,6328000,60010
1489.809,6328000,64010
1578.975,6328000,68010
1668.915,6328000,72010
1760.401,6328000,76010
1847.628,6328000,80010
1939.051,6328000,84010
2027.511,6328000,88010
2117.622,6328000,92010
2229.358,6328000,96010
0.416,6624000,10
101.925,6624000,4010
203.846,6624000,8010
303.858,6624000,12010
402.478,6624000,16010
502.005,6624000,20010
601.492,6624000,24010
700.672,6624000,28010
826.818,6624000,32010
894.657,6624000,36010
989.116,6624000,40010
1086.776,6624000,44010
1180.755,6624000,48010
1275.07,6624000,52010
1369.075,6624000,56010
1462.996,6624000,60010
1557.107,6624000,64010
1652.034,6624000,68010
1745.217,6624000,72010
1839.318,6624000,76010
1933.84,6624000,80010
2077.333,6624000,84010
