time,numwrites,size
116.182,5000000,4010
191.445,5000000,8010
260.119,5000000,12010
331.579,5000000,16010
405.356,5000000,20010
474.981,5000000,24010
549.027,5000000,28010
618.989,5000000,32010
691.161,5000000,36010
764.286,5000000,40010
834.758,5000000,44010
906.294,5000000,48010
969.957,5000000,52010
1045.97,5000000,56010
1106.579,5000000,60010
1177.931,5000000,64010
1247.24,5000000,68010
1319.063,5000000,72010
1382.126,5000000,76010
1448.098,5000000,80010
1523.602,5000000,84010
1595.523,5000000,88010
1652.645,5000000,92010
1720.891,5000000,96010
46.576,5400000,10
124.299,5400000,4010
204.2,5400000,8010
281.067,5400000,12010
358.4,5400000,16010
439.378,5400000,20010
512.999,5400000,24010
589.893,5400000,28010
671.022,5400000,32010
745.846,5400000,36010
843.044,5400000,40010
903.034,5400000,44010
970.262,5400000,48010
1053.653,5400000,52010
1126.744,5400000,56010
1196.399,5400000,60010
1275.147,5400000,64010
1344.641,5400000,68010
1417.357,5400000,72010
1486.069,5400000,76010
1564.731,5400000,80010
1637.376,5400000,84010
1711.454,5400000,88010
1782.698,5400000,92010
1858.089,5400000,96010
49.662,5800000,10
133.236,5800000,4010
218.256,5800000,8010
305.158,5800000,12010
382.382,5800000,16010
466.626,5800000,20010
551.129,5800000,24010
636.613,5800000,28010
719.308,5800000,32010
803.669,5800000,36010
884.606,5800000,40010
967.432,5800000,44010
1044.434,5800000,48010
1127.493,5800000,52010
1203.473,5800000,56010
1286.537,5800000,60010
1363.664,5800000,64010
1442.468,5800000,68010
1522.845,5800000,72010
1591.778,5800000,76010
1680.496,5800000,80010
1756.025,5800000,84010
1833.078,5800000,88010
1913.153,5800000,92010
1993.237,5800000,96010
54.155,6200000,10
144.098,6200000,4010
234.464,6200000,8010
322.989,6200000,12010
408.006,6200000,16010
498.574,6200000,20010
593.093,6200000,24010
680.222,6200000,28010
773.134,6200000,32010
857.445,6200000,36010
947.617,6200000,40010
1031.576,6200000,44010
1116.17,6200000,48010
1197.484,6200000,52010
1288.064,6200000,56010
1369.176,6200000,60010
1457.544,6200000,64010
1538.488,6200000,68010
1623.044,6200000,72010
1704.284,6200000,76010
1788.331,6200000,80010
1878.9,6200000,84010
1958.342,6200000,88010
2040.928,6200000,92010
2120.592,6200000,96010
57.693,6600000,10
152.291,6600000,4010
248.981,6600000,8010
344.924,6600000,12010
440.684,6600000,16010
532.916,6600000,20010
630.597,6600000,24010
729.614,6600000,28010
815.751,6600000,32010
914.507,6600000,36010
999.924,6600000,40010
1101.929,6600000,44010
1206.384,6600000,48010
1280.09,6600000,52010
1372.955,6600000,56010
1455.99,6600000,60010
1543.678,6600000,64010
1629.061,6600000,68010
1720.365,6600000,72010
1818.218,6600000,76010
1903.101,6600000,80010
1991.612,6600000,84010
2098.766,6600000,88010
2164.865,6600000,92010
2248.041,6600000,96010
61.089,7000000,10
164.191,7000000,4010
266.712,7000000,8010
366.237,7000000,12010
464.046,7000000,16010
568.626,7000000,20010
672.645,7000000,24010
770.507,7000000,28010
873.923,7000000,32010
975.726,7000000,36010
1065.798,7000000,40010
1203.708,7000000,44010
1265.348,7000000,48010
1344.16,7000000,52010
1444.262,7000000,56010
1541.135,7000000,60010
1635.47,7000000,64010
1733.104,7000000,68010
1826.736,7000000,72010
1916.664,7000000,76010
2013.343,7000000,80010
2107.187,7000000,84010
2199.544,7000000,88010
2297.88,7000000,92010
2391.019,7000000,96010
64.41,7400000,10
173.012,7400000,4010
278.848,7400000,8010
384.76,7400000,12010
490.455,7400000,16010
601.931,7400000,20010
709.312,7400000,24010
810.978,7400000,28010
920.691,7400000,32010
1020.288,7400000,36010
1123.061,7400000,40010
1225.463,7400000,44010
1320.691,7400000,48010
1430.747,7400000,52010
1529.684,7400000,56010
1630.366,7400000,60010
1748.914,7400000,64010
1830.257,7400000,68010
1921.037,7400000,72010
2026.73,7400000,76010
2123.159,7400000,80010
2227.185,7400000,84010
2313.892,7400000,88010
2415.314,7400000,92010
2520.513,7400000,96010
68.133,7800000,10
180.745,7800000,4010
293.315,7800000,8010
399.261,7800000,12010
519.008,7800000,16010
634.119,7800000,20010
748.233,7800000,24010
859.054,7800000,28010
971.315,7800000,32010
1070.97,7800000,36010
1187.726,7800000,40010
1290.309,7800000,44010
1400.998,7800000,48010
1503.644,7800000,52010
1610.38,7800000,56010
1717.502,7800000,60010
1822.261,7800000,64010
1922.671,7800000,68010
