time,numwrites,size
0.287,4552000,10,45520000
70.096,4552000,4010,18253520000
139.618,4552000,8010,36461520000
209.032,4552000,12010,54669520000
277.349,4552000,16010,72877520000
345.445,4552000,20010,91085520000
412.793,4552000,24010,109293520000
481.035,4552000,28010,127501520000
549.167,4552000,32010,145709520000
615.996,4552000,36010,163917520000
684.306,4552000,40010,182125520000
752.552,4552000,44010,200333520000
820.192,4552000,48010,218541520000
885.885,4552000,52010,236749520000
950.918,4552000,56010,254957520000
1015.75,4552000,60010,273165520000
1082.969,4552000,64010,291373520000
1217.297,4552000,68010,309581520000
1208.655,4552000,72010,327789520000
1297.244,4552000,76010,345997520000
1339.138,4552000,80010,364205520000
1405.096,4552000,84010,382413520000
1467.615,4552000,88010,400621520000
1533.098,4552000,92010,418829520000
1597.279,4552000,96010,437037520000
