time,numwrites,size
0.069,1000000,10,10000000
15.253,1000000,4010,4010000000
30.374,1000000,8010,8010000000
45.496,1000000,12010,12010000000
61.811,1000000,16010,16010000000
75.852,1000000,20010,20010000000
90.85,1000000,24010,24010000000
107.092,1000000,28010,28010000000
120.828,1000000,32010,32010000000
135.636,1000000,36010,36010000000
151.185,1000000,40010,40010000000
166.099,1000000,44010,44010000000
181.59,1000000,48010,48010000000
196.297,1000000,52010,52010000000
210.891,1000000,56010,56010000000
226.852,1000000,60010,60010000000
241.023,1000000,64010,64010000000
256.319,1000000,68010,68010000000
270.424,1000000,72010,72010000000
285.93,1000000,76010,76010000000
300.452,1000000,80010,80010000000
315.075,1000000,84010,84010000000
331.025,1000000,88010,88010000000
344.681,1000000,92010,92010000000
359.434,1000000,96010,96010000000
