time,numwrites,size
0.104,1000000,10,10000000
15.511,1000000,4010,4010000000
30.875,1000000,8010,8010000000
46.978,1000000,12010,12010000000
61.316,1000000,16010,16010000000
76.417,1000000,20010,20010000000
91.48,1000000,24010,24010000000
109.108,1000000,28010,28010000000
121.626,1000000,32010,32010000000
136.597,1000000,36010,36010000000
155.332,1000000,40010,40010000000
170.972,1000000,44010,44010000000
181.811,1000000,48010,48010000000
202.093,1000000,52010,52010000000
213.438,1000000,56010,56010000000
226.789,1000000,60010,60010000000
241.827,1000000,64010,64010000000
256.092,1000000,68010,68010000000
279.538,1000000,72010,72010000000
286.897,1000000,76010,76010000000
301.778,1000000,80010,80010000000
322.93,1000000,84010,84010000000
331.551,1000000,88010,88010000000
347.402,1000000,92010,92010000000
362.325,1000000,96010,96010000000
