time,numwrites,size
0.294,4552000,10,45520000
70.819,4552000,4010,18253520000
141.466,4552000,8010,36461520000
210.661,4552000,12010,54669520000
279.926,4552000,16010,72877520000
347.707,4552000,20010,91085520000
417.108,4552000,24010,109293520000
501.429,4552000,28010,127501520000
556.48,4552000,32010,145709520000
625.217,4552000,36010,163917520000
693.237,4552000,40010,182125520000
762.636,4552000,44010,200333520000
830.261,4552000,48010,218541520000
895.792,4552000,52010,236749520000
964.492,4552000,56010,254957520000
1029.097,4552000,60010,273165520000
1092.804,4552000,64010,291373520000
1162.141,4552000,68010,309581520000
1226.588,4552000,72010,327789520000
1297.031,4552000,76010,345997520000
1358.034,4552000,80010,364205520000
1420.456,4552000,84010,382413520000
1485.905,4552000,88010,400621520000
1552.969,4552000,92010,418829520000
1628.632,4552000,96010,437037520000
